HOT_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Status,Warning,Type_strain,16S_rRNA,Clone_count,Clone_%,Clone_rank,Synonyms,NCBI_taxon_id,NCBI_pubmed_count,NCBI_nucleotide_count,NCBI_protein_count,Genome_ID,General_info,Cultivability,Phenotypic_characteristics,Prevalence,Disease,References
265,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,sp. oral taxon 265,Phylotype,,,AF023046,13,0.04,244,Treponema sp. V:A:U7A,,0,13,0,,N/A,,,,,
268,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,sp. oral taxon 268,Lost,,,AF033303|AY349418,8,0.02,309,Oral Clone IL034|Oral Strain Smibert D120CR-1|Treponema sp. Smibert-5,,0,8,0,,N/A,,,,,
269,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,sp. oral taxon 269,Lost,,,AY005083,0,0,0,Oral Strain Smibert D15A-4|Treponema sp. 6:H:D15A-4,,0,0,0,,N/A,,,,,
270,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,sp. oral taxon 270,Phylotype,,,,2,0.01,409,Treponema sp. 9:A:D01,,0,3,0,,N/A,,,,,
271,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,sp. oral taxon 271,Phylotype,,,AF023043,2,0.01,409,Treponema sp. 10:A:C25,,0,2,0,,N/A,,,,,
272,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroidaceae [G-1],sp. oral taxon 272,Unnamed,,,AY005066,210,0.6,29,Oral Clone X083|Oral Strain TFI-F0093,,0,0,0,SEQF1646,N/A,,,,,
273,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,endodontalis,Named,,,AY005067|AY005068,83,0.24,85,Bacteroides endodontalis|Oral Clone AJ002|Oral Clone BB134,28124,176,169,3928,SEQF1033,N/A,,,,,
274,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales [F-2],Bacteroidales [G-2],sp. oral taxon 274,Unnamed,,,AY005072,51,0.15,125,Oral Clone AU126 [1-3]|Oral Strain KCL-W5603|Oral Strain TFI-F0058,,0,0,0,SEQF1451,Bacteroidetes bacterium Oral taxon 274 strain F0058 has been isolated from a human subject by the Moore&#039;s Laboratory in November 1984. The subject was a 39 year old American black male. The bacteria was isolated from the subgingival oral biofilm at a site with moderate periodontitis. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference FJ577256. The strain is available at www.bei.org under the reference HM-4. This strain is part of the reference strains for the oral section of the Human Microbiome Project. ,,Presumptively Gram negativePresumptively anaerobic,"26 clones found in libraries from 7 subjectsPresent in 20% of subgingival sites in healthy subjects and 76% of subgingival sites in periodontitis subjects with a prevalence ratio of 3.85 This disease association is higher than that of T. denticola, P. gingivalis or T. forsythensis [2]","Present in 20% of subgingival sites in healthy subjects and 76% of subgingival sites in periodontitis subjects with a prevalence ratio of 3.85 This disease association is higher thatn that of T. denticola, P. gingivalis or T. forsythensis [2]",Oral Dis. 2006 Jul;12(4):371-4[PID:16792721]|J Bacteriol. 2001 Jun;183(12):3770-83[PID:11371542]|J Dent Res. 2003 May;82(5):338-44[PID:12709498]
275,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,sp. oral taxon 275,Phylotype,,,AF393476,2,0.01,409,Oral Clone AW032,,0,2,0,,N/A,,,,,
277,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,sp. oral taxon 277,Phylotype,,,AF385555,2,0.01,409,Oral Clone BR037,,0,2,0,,N/A,,,,,
278,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,sp. oral taxon 278,Unnamed,,,AF385560,5,0.01,343,Oral Clone BS045,,0,206,3945,SEQF2357|SEQF2770,N/A,,,,,
279,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,sp. oral taxon 279,Unnamed,,,AF385516|AY008310,42,0.12,142,Oral Clone CW034|Oral Clone DP023|Oral Strain TFI-F003,,0,146,3447,SEQF1907,N/A,,,,,
280,Bacteria,Bacteroidetes,Bacteroidetes [C-1],Bacteroidetes [O-1],Bacteroidetes [F-1],Bacteroidetes [G-3],sp. oral taxon 280,Phylotype,,,AY005071,10,0.03,280,Oral Clone DA064,,0,0,0,,N/A,,,,,
281,Bacteria,Bacteroidetes,Bacteroidetes [C-1],Bacteroidetes [O-1],Bacteroidetes [F-1],Bacteroidetes [G-3],sp. oral taxon 281,Phylotype,,,AY005070,54,0.15,118,Oral Clone DA065,,0,0,0,,N/A,,,,,
283,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,catoniae,Named,,,AF366271|X82823,14,0.04,236,Oral Clone DS033|Oral Strain THI-F0035|Oribaculum catoniae,41976,6,130,5292,SEQF1936|SEQF2632,N/A,,,,,
284,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,sp. oral taxon 284,Lost,,,AY008313,5,0.01,343,Oral Clone EP003|Oral Strain TFI-F0037,,0,5,0,,N/A,,,,,
285,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,sp. oral taxon 285,Phylotype,,,AY005069,0,0,0,Oral Clone F016,,0,0,0,,N/A,,,,,
286,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,sp. oral taxon 286,Unnamed,,,AY008308,16,0.05,224,Oral Clone BU063,712710,0,5438,12966,SEQF2634|SEQF2635|SEQF2636|SEQF2637|SEQF2638,"As the closest Tannerella forsythus, several investigators have attempted to culture this organism--as yet unsuccessfully.",,,,,
288,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oulorum,Named,,,L16472,13,0.04,244,Bacteroides oulorum|Oral Strain TFI-C08KA|Prevotella oulora,28136,3,420,6641,SEQF1691|SEQF2684,N/A,,,,,
289,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,maculosa,Named,,,AY005057|AY005058|EF534315,18,0.05,211,Oral Clone AA016|Oral Clone AA020|Oral Strain KCL-W1609|Prevotella genomosp.|Prevotella genomosp. T3 [1],439703,1,560,7612,SEQF2147|SEQF2508|SEQF2680,N/A,,,,,Int J Syst Evol Microbiol. 2007 Dec;57(Pt 12):2936-9[PID:18048753]
291,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,denticola,Named,,,AY005053|AY005054,61,0.17,106,Oral Clone AO036|Oral Clone AH005|Bacteroides denticola,28129,44,667,13971,SEQF2146|SEQF1677|SEQF2563|SEQF2676|SEQF2733,N/A,,,,,
292,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 292,Phylotype,,,AY005060,13,0.04,244,Oral Clone AH125|Oral Clone AU120,,0,14,0,,N/A,,,,,
293,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 293,Phylotype,,,AY005059,1,0,459,Oral Clone AO009,,0,1,0,,N/A,,,,,
296,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 296,Dropped,,,AY005062,4,0.01,365,Oral Clone AU069,,0,4,0,,N/A,,,,,
298,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,histicola,Named,,,AF385551,47,0.13,133,Oral Clone BE073,470565,2,205,6514,SEQF1852|SEQF2679,N/A,,,,,
299,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,nanceiensis,Named,,CCUG 54409,AY005064,8,0.02,309,Oral Clone BI027|Oral Strain KCL-W1169|Oral Strain TFI-F0039,,0,13,5799,SEQF1452,Prevotella sp. oral taxon 299 strain F0039 has been isolated from a human subject by the Moore&#039;s Laboratory in September 1981.  The subject was a 44 years old American white male. The bacteria was isolated from the subgingival oral biofilm at an healthy site. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference FJ577257. The strain is available at www.bei.org under the reference HM-3.  This strain is now part of the reference strains for the oral section of the Human Microbiome Project. ,,,,,
300,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 300,Phylotype,,,AY278625|AF385554,18,0.05,211,Oral Clone BR014|Oral Clone C3MLM058,,0,18,0,,N/A,,,,,
301,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 301,Phylotype,,,AF385558,1,0,459,Oral Clone BS041,,0,1,0,,N/A,,,,,
302,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,rava,Named,,81/4-12|DSM 22548|CCUG 58091,AF385564,2,0.01,409, Oral Strain F0020| Oral STain KCL-W6968 |Oral Clone BU035 | Prevotella sp. oral taxon 302,,1,141,3992,SEQF1671|SEQF1020|SEQF2754,"Alloprevotella rava gen. nov., sp. nov., isolated from the human oral cavity, and reclassification of Prevotella tannerae (Moore, Johnson &amp; Moore, 1994) as Alloprevotella tannerae gen. nov., comb. nov.&nbsp;&nbsp;&nbsp; PMID: 22753527.&nbsp; Genome available as ACZK00000000.&nbsp; Link to genome may be broken until name changed at NCBI from Prevotella sp. oral taxon 302 to Alloprevotella rava ",,,,,
303,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,pleuritidis,Named,,,AY005063|AY349392,21,0.06,192,Oral Clone CY006|Oral Clone FL019,407975,1,207,5773,SEQF1935,N/A,,,,,
304,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 304,Phylotype,,,AY005065,5,0.01,343,Oral Clone DA058,,0,5,0,,N/A,,,,,
305,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 305,Phylotype,,,AF385509,1,0,459,Oral Clone DO014,,0,1,0,,N/A,,,,,
306,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 306,Unnamed,,,AF385511,11,0.03,267,Oral Clone DO027,,0,161,4681,SEQF1887,N/A,,,,,
307,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,salivae,Named,,,AF385512,7,0.02,320,Oral Clone DO033,228604,6,436,10913,SEQF2149|SEQF1932,N/A,,,,,
308,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,sp. oral taxon 308,Phylotype,,,AF385513,10,0.03,280,Oral Clone DO039,,0,0,0,,N/A,,,,,
309,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 309,Phylotype,,,AF385515,1,0,459,Oral Clone DO045,,0,1,0,,N/A,,,,,
310,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 310,Dropped,,,To be submitted,1,0,459,Oral Clone DR022,,0,2,0,,N/A,,,,,
311,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oris,Named,,,AY005056|L16474,153,0.44,48,Bacteroides oris|Oral Clone F045,28135,33,832,13678,SEQF2148|SEQF1656|SEQF2510|SEQF2683,N/A,,,,,
313,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 313,Unnamed,,,AF432133|AY349397,19,0.05,205,Oral Clone FM005|Oral Clone GI059,,0,19,0,,N/A,,,,,
314,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 314,Unnamed,,,AY349393,16,0.05,224,Oral Clone FU048|Oral Strain TFI-F0054,,0,15,0,SEQF2316,N/A,,,,,
315,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 315,Phylotype,,,AY349394,2,0.01,409,Oral Clone FW035,,0,2,0,,N/A,,,,,
317,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 317,Unnamed,,,AY005061,66,0.19,100,Oral Strain TFI-B31FD|Oral Strain TFI-F0055,,0,395,5808,SEQF1477,Prevotella sp. Oral Taxon 317 strain F0108 has been isolated from a human subject by the Moore&#039;s Laboratory in April 1992. The subject was a 38 year old American black female. The bacteria was isolated from the subgingival oral biofilm at a healthy site. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference FJ577255. The strain is available at www.bei.org under the reference HM-5. This strain is part of the reference strains for the oral section of the Human Microbiome Project.,,,,,
318,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,sp. oral taxon 318,Phylotype,,,AF385531,2,0.01,409,Oral Clone AV100,,0,0,0,,N/A,,,,,
319,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bergeyella,sp. oral taxon 319,Phylotype,,,AF385544,9,0.03,294,Oral Clone AY017,,0,9,0,,N/A,,,,,
320,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavitalea,sp. oral taxon 320,Phylotype,,,AF385548,2,0.01,409,Oral Clone AZ105,,0,0,0,,N/A,,,,,
321,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,sp. oral taxon 321,Phylotype,,,AF385549,3,0.01,387,Oral Clone AZ123,,0,0,0,,N/A,,,,,
322,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bergeyella,sp. oral taxon 322,Phylotype,,,AY008691,4,0.01,365,Oral Clone AK152,,0,4,0,,N/A,,,,,
323,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 323,Unnamed,,,AY005077,0,0,0,Oral Strain TFI-A47ROY,,0,0,0,SEQF2747,N/A,,,,,
324,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 324,Unnamed,,,AY005079,1,0,459,Oral Clone AA032,,0,298,4585,SEQF1938,N/A,,,,,
325,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,granulosa,Named,,,AY005074|U41347,344,0.99,18,Oral Clone AH015,45242,7,423,4714,SEQF1653,N/A,,,,,
326,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 326,Unnamed,,,AY005076,7,0.02,320,Oral Clone BB167|Oral Strain KCL-W5130,,0,505,6342,SEQF1900,N/A,,,,,
329,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,leadbetteri,Named,,,AY005075|AF385569,39,0.11,146,Oral Clone BM058|Oral Clone BR085|Oral Clone BU084|Oral Strain TFI-F0087,,2,7,0,SEQF1684,N/A,,,,,
332,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 332,Unnamed,,,AF366270,2,0.01,409,Oral Clone DS022|Oral Strain KCL-W4070,,0,471,5395,SEQF1937,N/A,,,,,
334,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 334,Phylotype,,,AY008312,1,0,459,Oral Clone EL034,,0,1,0,,N/A,,,,,
335,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 335,Unnamed,,,AY005078,2,0.01,409,Oral Clone X066,,0,80,3944,SEQF1906,N/A,,,,,
336,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 336,Unnamed,,,AY005080,7,0.02,320,Oral Clone X089,,0,55,4185,SEQF1970,N/A,,,,,
337,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,gingivalis,Named,,,AY005073,202,0.58,34,,1017,81,296,5157,SEQF1602,N/A,,,,,
338,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 338,Unnamed,,,U41352,23,0.07,183,Oral Strain FDC-8,,0,158,4857,SEQF1687,N/A,,,,,
343,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,xylosoxidans,Named,,,Y14907,30,0.09,164,Alcaligenes xylosoxidans,85698,325,3185,81905,SEQF2029|SEQF2030|SEQF1926|SEQF2546|SEQF2610|SEQF2627,N/A,,,,,
345,Bacteria,SR1,SR1 [C-1],SR1 [O-1],SR1 [F-1],SR1 [G-1],sp. oral taxon 345,Phylotype,,,AF125207,7,0.02,320,Oral Clones X112,,0,0,0,,"The proposed phylum OP11 has been split into multiple phyla, including SR1.",,,,,
346,Bacteria,Saccharibacteria (TM7),TM7 [C-1],TM7 [O-1],TM7 [F-1],TM7 [G-1],sp. oral taxon 346,Phylotype,,,AF125204,23,0.07,183,Oral Clone AH040,,0,0,0,,N/A,,,,,
347,Bacteria,Saccharibacteria (TM7),TM7 [C-1],TM7 [O-1],TM7 [F-1],TM7 [G-1],sp. oral taxon 347,Phylotype,,,AY005446,18,0.05,211,Oral Clone BE109,,0,0,0,,N/A,,,,,
348,Bacteria,Saccharibacteria (TM7),TM7 [C-1],TM7 [O-1],TM7 [F-1],TM7 [G-1],sp. oral taxon 348,Phylotype,,,GQ422738,4,0.01,365,Oral Clone BN036,,0,0,0,SEQF1467|SEQF1468|SEQF1469,N/A,,,,,
349,Bacteria,Saccharibacteria (TM7),TM7 [C-1],TM7 [O-1],TM7 [F-1],TM7 [G-1],sp. oral taxon 349,Phylotype,,,AY005448,7,0.02,320,Oral Clone BS003,,0,0,0,,N/A,,,,,
350,Bacteria,Saccharibacteria (TM7),TM7 [C-1],TM7 [O-1],TM7 [F-1],TM7 [G-2],sp. oral taxon 350,Phylotype,,,AF385568,2,0.01,409,Oral Clone BU080,,0,0,0,,N/A,,,,,
351,Bacteria,Saccharibacteria (TM7),TM7 [C-1],TM7 [O-1],TM7 [F-1],TM7 [G-3],sp. oral taxon 351,Phylotype,,,AF385506,1,0,459,Oral Clone CW040,,0,0,0,,N/A,,,,,
352,Bacteria,Saccharibacteria (TM7),TM7 [C-1],TM7 [O-1],TM7 [F-1],TM7 [G-1],sp. oral taxon 352,Phylotype,,,AF385520,6,0.02,332,Oral Clone DR034,,0,0,0,,N/A,,,,,
353,Bacteria,Saccharibacteria (TM7),TM7 [C-1],TM7 [O-1],TM7 [F-1],TM7 [G-1],sp. oral taxon 353,Dropped,,,AF385500,5,0.01,343,Oral Clone EW055,,0,0,0,,N/A,,,,,
355,Bacteria,Saccharibacteria (TM7),TM7 [C-1],TM7 [O-1],TM7 [F-1],TM7 [G-4],sp. oral taxon 355,Phylotype,,,AF125205,1,0,459,Oral Clone F061,,0,0,0,,N/A,,,,,
356,Bacteria,Saccharibacteria (TM7),TM7 [C-1],TM7 [O-1],TM7 [F-2],TM7 [G-5],sp. oral taxon 356,Phylotype,,,AF125206,1,0,459,Oral Clone I025,,0,0,0,,N/A,,,,,
357,Bacteria,Synergistetes,Synergistia,Synergistales,Dethiosulfovibrionaceae,Pyramidobacter,piscolens,Named,,W5455,EU309492|AY278615|AY005444,21,0.06,192,Oral Clone BA121|Oral Clone C2ALM009|Oral Strain W5455,2753,3,313,5512,SEQF1611|SEQF1474|SEQF1541|SEQF1475|SEQF2365,"Belongs to the cultivable cluster of the phylum ""Synergistetes"" and related to Jonquetella anthropi [1].","After 7-day incubation on Fastidious Anaerobe Agar plates (incorporating 5 % horse blood), strains of this species form circular, entire, high convex colonies around 1 mm in diameter.","Gram-negative, obligately anaerobic, cocco-bacilli to short bacilli. Strains are asaccharolytic and generally biochemically unreactive although hydrogen sulphide is produced. Acetic and isovaleric acids and minor to trace amounts of propionic, isobutyric, succinic and phenyl-acetic acids are produced as end products of fermentation. The G + C content of the DNA of the type strain is 59 mol %. ",Found in the human mouth and vagina.,"Has been isolated from dvanced dental caries, acute dentoalveolar infections and subgingival plaque in periodontitis.",Anaerobe. 2007 Jun-Aug;13(3-4):99-106[PID:17631395]
358,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,sp. oral taxon 358,Phylotype,,,AY005445,27,0.08,176,Oral Clone BB062,,0,0,0,,N/A,,,,,
359,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,sp. oral taxon 359,Phylotype,,,AY005447,12,0.03,255,Oral Clone BH007,,0,0,0,,N/A,,,,,
360,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,sp. oral taxon 360,Phylotype,,,AF125199,66,0.19,100,Oral Clone BH017,,0,0,0,,N/A,,,,,
361,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,sp. oral taxon 361,Phylotype,,,AF125201|AF481214|AY349372,7,0.02,320,Oral Clone D006|Oral Clone JV023|Oral Clone MCE7_5,,0,0,0,,N/A,,,,,
362,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,sp. oral taxon 362,Phylotype,,,AF125200,12,0.03,255,Oral Clone D084,,0,0,0,,N/A,,,,,
363,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,fastidiosum,Named,,SGP1|DSM 25557|JCM 16858,AF125202|AF125203|AF481215,48,0.14,131, Oral Clone W028 |Oral Clone MCE2_120 | Oral Clone W090| Strain SGP1,,4,4,4296,SEQF1674|SEQF2772,N/A,,,,,
365,Bacteria,Bacteroidetes,Bacteroidetes [C-1],Bacteroidetes [O-1],Bacteroidetes [F-1],Bacteroidetes [G-3],sp. oral taxon 365,Unnamed,,,AF481206|DQ003626,20,0.06,198,Bacteroidales genomosp. P8|Oral Clone MB4_G15|Oral Clone MCE7_164,,0,0,0,,N/A,,,,,
366,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae [G-3],sp. oral taxon 366,Phylotype,,,AF481208,2,0.01,409,Oral Clone MCE3_9,,0,0,0,,N/A,,,,,
368,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia,cinnamea,Named,,CCUG 50875,AF481211,9,0.03,294,Oral Strain KCL-W5195,712270,0,9,0,SEQF2654,N/A,,,,,
369,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-4],sp. oral taxon 369,Phylotype,,,AF481212,24,0.07,181,Oral Clone MCE10_174,,0,0,0,,N/A,,,,,
370,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,sp. oral taxon 370,Unnamed,,,AF481217,32,0.09,158,Oral Strain KCL-W5205,,0,587,4497,SEQF1879,N/A,,,,,
372,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Oribacterium,sp. oral taxon 372,Dropped,,,AF481220,46,0.13,137,Oral Clone MCE9_31,,0,46,0,,N/A,,,,,
373,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Stomatobaculum,sp. oral taxon 373,Phylotype,,,AF481221,15,0.04,228,Oral Clone MCE9_173,,0,0,0,,N/A,,,,,J Dent Res. 2002 Nov;81(11):761-6[PID:12407091]
375,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,sp. oral taxon 375,Unnamed,,,AF481225,8,0.02,309,Oral Strain KCL-E3_32|Oral Strain KCL-W3886,,0,13,4228,SEQF1855,N/A,,,,,
376,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp. oral taxon 376,Unnamed,,,AF481226,18,0.05,211,Oral Strain KCL-E7_34|Oral Strain KCL-W4029,,0,18,0,SEQF2354,N/A,,,,,
377,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-7],[Eubacterium] yurii subsps. yurii & margaretiae,Named,,,L34629,40,0.11,144,Eubacterium yurii subsp. yurii|Eubacterium yurii subsp. margaratiae,39498,0,0,0,SEQF1912,Reference sequences for [Eubacterium] yurii subsps. yurii and margaratiae are >>99% identical by 16S rRNA and so given only one HOT-#.  ,,,,,
378,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,micans,Named,,,AF481228,6,0.02,332,Prevotella sp. E7_56,,2,484,4513,SEQF1863|SEQF2509|SEQF2682,N/A,,,,,
380,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sp. oral taxon 380,Unnamed,,,AF538853,1,0,459,Oral Strain KCL-E7_56|Oral Strain KCL-W5098,,0,360,4454,SEQF1950,N/A,,,,,
381,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae [G-3],sp. oral taxon 381,Phylotype,,,AF538854,2,0.01,409,Oral Cone P4PB_122,,0,0,0,,N/A,,,,,
382,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-8],sp. oral taxon 382,Phylotype,,,AF538855,0,0,0,Oral Clone P2PC_29,,0,0,0,,N/A,,,,,
383,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-1],sp. oral taxon 383,Phylotype,,,AF538856,19,0.05,205,Oral Clone P2PB_46,,0,0,0,,N/A,,,,,
386,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,sp. oral taxon 386,Unnamed,,,AF538859,4,0.01,365,Oral Clone P4PA_156|Oral Strain THI-F0131,,0,100,2796,SEQF1472,Peptoniphilus sp. Oral taxon 386 strain F0131 has been isolated from a human subject by the Moore&#039;s Laboratory in August 1978. The subject was a 54 year old American black female. The bacteria was isolated from the subgingival oral biofilm at a site with a moderate periodontitis. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference FJ577254. The strain is available at www.bei.org under the reference HM-6. This strain is part of the reference strains for the oral section of the Human Microbiome Project.,,,,,
388,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,sp. oral taxon 388,Phylotype,,,AF538861,3,0.01,387,Oral Clone P4PA_36,,0,3,0,,N/A,,,,,
